Device GV100
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
lts__t_sectors_srcunit_tex_aperture_peer_op_atom                            # of LTS sectors from unit TEX accessing peer memory (peermem) for all atomics                      
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_cas_lookup_miss         # of LTS sectors from unit L1 accessing peer memory (peermem) for atomic CAS that missed            
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_surface                         # of sectors requested for surface                                                                  
l1tex__t_set_conflicts_pipe_lsu_mem_global_op_st                            # of extra cycles spent on set conflicts for global stores                                          
smsp__warps_launched_total                                                  # of warps launched including warps restored from pre-emption                                       
lts__t_requests_srcunit_l1_aperture_sysmem_op_write                         # of LTS requests from unit L1 accessing system memory (sysmem) for writes                          
l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st                              # of sectors written to L2 for local/global stores                                                  
lts__t_sectors_srcunit_tex_op_membar_lookup_miss                            # of LTS sectors from unit TEX for memory barriers that missed                                      
idc__requests_lookup_miss                                                   # of IDC requests that missed                                                                       
tpc__warp_launch_cycles_stalled_shader_cs_reason_register_allocation        # of cycles where CS warp launch was stalled due to register allocation (non-exclusively)           
lts__t_sectors_aperture_device_op_membar                                    # of LTS sectors accessing device memory (vidmem) for memory barriers                               
lts__t_sectors_aperture_peer_op_atom                                        # of LTS sectors accessing peer memory (peermem) for all atomics                                    
lts__t_requests_srcunit_tex_aperture_device_op_read_lookup_hit              # of LTS requests from unit TEX accessing device memory (vidmem) for reads that hit                 
l1tex__t_bytes_pipe_lsu_mem_global_op_atom_lookup_miss                      # of bytes requested that missed for global atomics                                                 
lts__t_requests_aperture_peer_op_atom                                       # of LTS requests accessing peer memory (peermem) for all atomics                                   
smsp__pipe_shared_cycles_active                                             # of cycles where the 'shared pipe' fp64+fp16+tensor was active                                     
lts__t_sectors_aperture_device_op_atom_dot_cas_lookup_miss                  # of LTS sectors accessing device memory (vidmem) for atomic CAS that missed                        
smsp__inst_executed_pipe_tensor                                             # of warp instructions executed by tensor pipe                                                      
smsp__sass_thread_inst_executed_op_hmul_pred_on                             # of HMUL thread instructions executed where all predicates were true                               
lts__t_requests_srcunit_l1_aperture_peer_op_write_lookup_hit                # of LTS requests from unit L1 accessing peer memory (peermem) for writes that hit                  
lts__t_requests_srcunit_tex_op_atom_dot_cas                                 # of LTS requests from unit TEX for atomic CAS                                                      
smsp__sass_l1tex_pipe_lsu_wavefronts_mem_shared                             # of shared memory wavefront processed by Data-Stage                                                
l1tex__t_bytes                                                              # of bytes requested                                                                                
smsp__inst_executed_op_surface_atom                                         # of warp instructions executed: SUATOM.*                                                           
idc__request_cycles_active                                                  # of cycles where IDC processed requests from SM                                                    
smsp__inst_executed_op_shared_st_pred_on_any                                # of warp instructions executed with at least 1 thread predicated on: STS                           
lts__t_requests_aperture_peer                                               # of LTS requests accessing peer memory (peermem)                                                   
lts__t_sectors_aperture_sysmem_op_read_lookup_hit                           # of LTS sectors accessing system memory (sysmem) for reads that hit                                
smsp__inst_executed_op_shared_atom_dot_cas_pred_off_all                     # of warp instructions executed with all threads predicated off: ATOMS.CAS                          
l1tex__t_sectors_pipe_lsu_mem_local_op_st                                   # of sectors requested for local stores                                                             
lts__t_sectors_op_atom_dot_cas_lookup_miss                                  # of LTS sectors for atomic CAS that missed                                                         
lts__t_sectors_srcunit_l1_aperture_sysmem_op_red                            # of LTS sectors from unit L1 accessing system memory (sysmem) for reductions                       
lts__t_requests_srcunit_tex_aperture_peer_op_atom                           # of LTS requests from unit TEX accessing peer memory (peermem) for all atomics                     
lts__t_requests_srcunit_l1_lookup_miss                                      # of LTS requests from unit L1 that missed                                                          
lts__t_sectors_srcunit_l1_op_membar_lookup_hit                              # of LTS sectors from unit L1 for memory barriers that hit                                          
lts__t_sectors_aperture_peer_op_write_lookup_miss                           # of LTS sectors accessing peer memory (peermem) for writes that missed                             
smsp__sass_inst_executed_op_shared_st                                       # of warp instructions executed: STS, ST                                                            
lts__d_atomic_input_cycles_active                                           # of cycles where the atomic unit's input was active                                                
lts__t_sectors_srcunit_l1_aperture_peer_op_membar_lookup_miss               # of LTS sectors from unit L1 accessing peer memory (peermem) for memory barriers that missed       
lts__t_sectors_aperture_sysmem_op_membar_lookup_miss                        # of LTS sectors accessing system memory (sysmem) for memory barriers that missed                   
lts__t_requests_srcunit_l1_aperture_device_op_atom_lookup_hit               # of LTS requests from unit L1 accessing device memory (vidmem) for all atomics that hit            
smsp__sass_inst_executed_op_memory_32b                                      # of warp instructions executed by memory instructions with width 32 bit                            
lts__t_requests_srcunit_l1_aperture_sysmem_op_atom                          # of LTS requests from unit L1 accessing system memory (sysmem) for all atomics                     
lts__t_sectors_srcunit_l1_op_atom_lookup_miss                               # of LTS sectors from unit L1 for all atomics that missed                                           
smsp__inst_executed_op_shared_st                                            # of warp instructions executed: STS                                                                
smsp__warps_issue_stalled_barrier                                           cumulative # of warps waiting for sibling warps at a CTA barrier                                    
lts__t_requests_srcunit_tex_op_red_lookup_miss                              # of LTS requests from unit TEX for reductions that missed                                          
lts__t_requests_srcunit_l1_op_membar_lookup_hit                             # of LTS requests from unit L1 for memory barriers that hit                                         
fbpa__cycles_active                                                         # of cycles where FBPA                                                                              
lts__t_sectors_srcunit_tex_op_write_lookup_hit                              # of LTS sectors from unit TEX for writes that hit                                                  
smsp__inst_executed_op_generic_st_pred_off_all                              # of warp instructions executed with all threads predicated off: ST                                 
lts__t_requests_srcunit_tex_aperture_device_op_membar_lookup_hit            # of LTS requests from unit TEX accessing device memory (vidmem) for memory barriers that hit       
lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_alu                   # of LTS sectors from unit L1 accessing device memory (vidmem) for atomic ALU (non-CAS)             
smsp__inst_executed_pipe_adu                                                # of warp instructions executed by adu pipe                                                         
sm__inst_executed_pipe_fp64                                                 # of warp instructions executed by fp64 pipe                                                        
l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_hit                      # of sector requests to T-Stage with tag-hit and data-hit for surface stores                        
