Device GV100
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
tpc__cycles_in_frame                                                        # of cycles in user-defined frame                                                                   
l1tex__t_sectors_pipe_tex_mem_surface_lookup_miss                           # of sector requests to T-Stage that missed for surface                                             
lts__xbar2lts_cycles_active                                                 # of cycles where interface from XBAR to LTS was active                                             
lts__t_sectors_aperture_peer_op_atom_dot_cas                                # of LTS sectors accessing peer memory (peermem) for atomic CAS                                     
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar_lookup_hit             # of LTS sectors from unit TEX accessing system memory (sysmem) for memory barriers that hit        
smsp__inst_executed_op_shared_ld_pred_on_any                                # of warp instructions executed with at least 1 thread predicated on: LDS                           
smsp__sass_thread_inst_executed_op_inter_thread_communication_pred_on       # of inter-thread communication thread instructions executed where all predicates were true         
lts__t_requests_srcunit_l1_aperture_peer_op_read                            # of LTS requests from unit L1 accessing peer memory (peermem) for reads                            
lts__t_sectors_equiv_l1tagmiss_pipe_lsu_mem_global_op_st                    # of sectors requested for global stores                                                            
l1tex__data_pipe_tex_wavefronts_mem_texture                                 # of texture wavefronts processed by Data-Stage                                                     
lts__t_sectors_srcunit_l1_aperture_device_op_read_lookup_miss               # of LTS sectors from unit L1 accessing device memory (vidmem) for reads that missed                
sm__warp_launch_cycles_stalled_shader_cs_reason_warp_allocation             # of cycles where CS warp launch was stalled due to warp allocation (non-exclusively)               
lts__t_sectors_aperture_device_op_atom                                      # of LTS sectors accessing device memory (vidmem) for all atomics                                   
lts__t_requests_aperture_device_op_write_lookup_hit                         # of LTS requests accessing device memory (vidmem) for writes that hit                              
l1tex__t_sectors_pipe_tex_mem_surface_op_red_lookup_hit                     # of sector requests to T-Stage with tag-hit and data-hit for surface reductions                    
gr__cycles_idle                                                             # of cycles where GR was idle                                                                       
smsp__warps_issue_stalled_long_scoreboard                                   cumulative # of warps waiting for a scoreboard dependency on L1TEX (local, global, surface, tex)    
                                                                            operation                                                                                           
sm__mio_pq_write_cycles_active_pipe_tex                                     # of cycles where register operands from the register file were written to MIO PQ, for the tex pipe 
l1tex__t_bytes_pipe_tex_mem_surface_op_red_lookup_hit                       # of bytes requested with tag-hit and data-hit for surface reductions                               
lts__t_requests_aperture_sysmem_op_write_lookup_hit                         # of LTS requests accessing system memory (sysmem) for writes that hit                              
smsp__sass_thread_inst_executed_op_memory_pred_on                           # of memory thread instructions executed where all predicates were true                             
smsp__sass_thread_inst_executed                                             # of thread instructions executed                                                                   
lts__t_sectors_aperture_device_op_atom_dot_alu_lookup_hit                   # of LTS sectors accessing device memory (vidmem) for atomic ALU (non-CAS) that hit                 
tpc__warp_launch_cycles_stalled_shader_cs_reason_shmem_allocation           # of cycles where CS warp launch was stalled due to shmem allocation (non-exclusively)              
l1tex__data_bank_conflicts_pipe_lsu_mem_shared                              # of data bank conflicts generated by shared ops                                                    
lts__t_sectors_srcunit_l1_aperture_peer_op_write_lookup_miss                # of LTS sectors from unit L1 accessing peer memory (peermem) for writes that missed                
l1tex__t_bytes_pipe_tex_mem_surface_op_st_lookup_miss                       # of bytes requested that missed for surface stores                                                 
fe__cycles_elapsed                                                          # of cycles elapsed on FE                                                                           
gr__cycles_active                                                           # of cycles where GPU was active                                                                    
lts__t_sectors_srcunit_l1_aperture_sysmem_op_red_lookup_miss                # of LTS sectors from unit L1 accessing system memory (sysmem) for reductions that missed           
lts__t_sectors_lookup_miss                                                  # of LTS sectors that missed                                                                        
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_surface_op_st                   # of sectors requested for surface stores                                                           
smsp__inst_executed_pipe_fp64                                               # of warp instructions executed by fp64 pipe                                                        
l1tex__t_requests_pipe_tex_mem_surface_op_red                               # of requests sent to T-Stage for surface reductions                                                
l1tex__t_bytes_pipe_lsu_mem_global_op_st                                    # of bytes requested for global stores                                                              
smsp__inst_executed_op_branch                                               # of warp instructions executed: BRA, BRX, JMP, JMX, CALL, RET                                      
lts__t_requests_srcunit_tex_aperture_sysmem                                 # of LTS requests from unit TEX accessing system memory (sysmem)                                    
lts__t_requests_srcunit_l1_aperture_sysmem_op_read_lookup_hit               # of LTS requests from unit L1 accessing system memory (sysmem) for reads that hit                  
gpc__cycles_in_region                                                       # of cycles in user-defined region                                                                  
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read                          # of LTS sectors from unit TEX accessing system memory (sysmem) for reads                           
lts__t_requests_srcunit_l1_aperture_sysmem_op_red_lookup_miss               # of LTS requests from unit L1 accessing system memory (sysmem) for reductions that missed          
lts__t_requests_srcunit_l1_aperture_sysmem_op_membar_lookup_miss            # of LTS requests from unit L1 accessing system memory (sysmem) for memory barriers that missed     
l1tex__t_bytes_pipe_tex_mem_surface_op_ld_lookup_hit                        # of bytes requested with tag-hit and data-hit for surface loads                                    
lts__t_sectors_srcunit_l1_aperture_device_op_red_lookup_hit                 # of LTS sectors from unit L1 accessing device memory (vidmem) for reductions that hit              
l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_st                           # of bytes written to L2# of sectors written to L2 for surface stores                               
smsp__thread_inst_executed_pred_off                                         # of thread instructions executed where guard predicate was false                                   
lts__t_sectors_srcunit_tex_op_red_lookup_hit                                # of LTS sectors from unit TEX for reductions that hit                                              
lts__t_requests_aperture_device_op_atom_lookup_hit                          # of LTS requests accessing device memory (vidmem) for all atomics that hit                         
lts__t_requests_srcunit_l1_aperture_peer_op_atom_lookup_hit                 # of LTS requests from unit L1 accessing peer memory (peermem) for all atomics that hit             
smsp__inst_executed_op_surface_st_pred_on_any                               # of warp instructions executed with at least 1 thread predicated on: SUST                          
l1tex__t_requests_pipe_tex_mem_surface_op_ld                                # of requests sent to T-Stage for surface loads                                                     
lts__t_sectors_srcunit_l1_aperture_peer_op_read_lookup_miss                 # of LTS sectors from unit L1 accessing peer memory (peermem) for reads that missed                 
lts__t_sectors_srcunit_tex_aperture_device_op_membar                        # of LTS sectors from unit TEX accessing device memory (vidmem) for memory barriers                 
l1tex__t_output_wavefronts_pipe_tex_mem_surface                             # of wavefronts sent to Data-Stage from T-Stage for surface instructions                            
lts__t_sectors_aperture_sysmem_op_membar                                    # of LTS sectors accessing system memory (sysmem) for memory barriers                               
lts__t_sectors_srcunit_tex_op_membar                                        # of LTS sectors from unit TEX for memory barriers                                                  
lts__t_sectors_srcunit_l1_aperture_sysmem_op_red_lookup_hit                 # of LTS sectors from unit L1 accessing system memory (sysmem) for reductions that hit              
lts__t_sectors_aperture_peer_op_red_lookup_hit                              # of LTS sectors accessing peer memory (peermem) for reductions that hit                            
smsp__sass_inst_executed_op_global_st                                       # of warp instructions executed: STG, ST                                                            
l1tex__data_pipe_tex_wavefronts                                             # of texture + surface read wavefronts processed by Data-Stage                                      
sm__pipe_shared_cycles_active                                               # of cycles where the 'shared pipe' fp64+fp16+tensor was active                                     
lts__t_sectors_aperture_peer_op_atom_dot_alu_lookup_miss                    # of LTS sectors accessing peer memory (peermem) for atomic ALU (non-CAS) that missed               
l1tex__t_requests_pipe_lsu                                                  # of requests sent to T-Stage from the LSU instruction pipeline                                     
lts__t_sectors_srcunit_l1_op_read                                           # of LTS sectors from unit L1 for reads                                                             
lts__t_requests_aperture_peer_lookup_miss                                   # of LTS requests accessing peer memory (peermem) that missed                                       
sm__mio_pq_read_cycles_active                                               # of cycles where MIOP PQ sent register operands to a pipeline                                      
lts__t_sectors_aperture_device_op_atom_dot_alu_lookup_miss                  # of LTS sectors accessing device memory (vidmem) for atomic ALU (non-CAS) that missed              
lts__t_requests_srcunit_l1_aperture_sysmem_op_write_lookup_miss             # of LTS requests from unit L1 accessing system memory (sysmem) for writes that missed              
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st                        # of data bank conflicts generated by shared stores                                                 
l1tex__t_bytes_pipe_lsu_mem_global_op_ld                                    # of bytes requested for global loads                                                               
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write_lookup_hit              # of LTS sectors from unit TEX accessing system memory (sysmem) for writes that hit                 
lts__t_requests_op_read_lookup_hit                                          # of LTS requests for reads that hit                                                                
lts__t_requests_srcunit_tex_op_atom_lookup_hit                              # of LTS requests from unit TEX for all atomics that hit                                            
smsp__inst_executed_op_ldc_pred_on_any                                      # of warp instructions executed with at least 1 thread predicated on: LDC                           
lts__t_requests_srcunit_tex_aperture_device_lookup_miss                     # of LTS requests from unit TEX accessing device memory (vidmem) that missed                        
smsp__inst_executed_op_surface_atom_dot_cas                                 # of warp instructions executed: SUATOM.CAS                                                         
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_cas                   # of LTS sectors from unit L1 accessing system memory (sysmem) for atomic CAS                       
lts__t_sectors_srcunit_tex_aperture_device_op_red_lookup_miss               # of LTS sectors from unit TEX accessing device memory (vidmem) for reductions that missed          
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface_op_ld                  # of bytes requested for surface loads                                                              
smsp__inst_executed_pipe_tensor_op_hmma                                     # of warp instructions executed by tensor pipe                                                      
lts__t_requests_aperture_sysmem_op_red_lookup_hit                           # of LTS requests accessing system memory (sysmem) for reductions that hit                          
smsp__sass_thread_inst_executed_ops_dadd_dmul_dfma_pred_on                  # of DADD, DMUL and DFMA thread instructions executed where all predicates were true            
l1tex__lsuin_requests                                                       # of local/global/shared/attribute instructions sent to LSU                                     
lts__t_sectors_srcunit_l1_aperture_sysmem_op_read_lookup_hit                # of LTS sectors from unit L1 accessing system memory (sysmem) for reads that hit               
sm__inst_issued                                                             # of warp instructions issued                                                                   
sm__inst_executed_pipe_lsu                                                  # of warp instructions executed by lsu pipe                                                     
l1tex__t_bytes_pipe_lsu_mem_local_op_st_lookup_hit                          # of bytes requested with tag-hit and data-hit for local stores                                 
lts__t_requests_srcunit_tex_aperture_peer_op_write                          # of LTS requests from unit TEX accessing peer memory (peermem) for writes                      
lts__t_requests_srcunit_tex_aperture_device_op_read                         # of LTS requests from unit TEX accessing device memory (vidmem) for reads                      
l1tex__tex_writeback_active                                                 # of cycles where texture/surface writeback interface was active                                
smsp__inst_executed_op_surface_ld_pred_off_all                              # of warp instructions executed with all threads predicated off: SULD                           
tpc__cycles_in_region                                                       # of cycles in user-defined region                                                              
lts__t_sectors_srcunit_l1_aperture_sysmem_op_write_lookup_hit               # of LTS sectors from unit L1 accessing system memory (sysmem) for writes that hit              
lts__t_requests_srcunit_tex_aperture_peer_op_read_lookup_miss               # of LTS requests from unit TEX accessing peer memory (peermem) for reads that missed           
l1tex__t_output_wavefronts_pipe_lsu_mem_local                               # of wavefronts sent to Data-Stage from T-Stage for local memory instructions                   
lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_hit                       # of LTS sectors from unit TEX for atomic ALU (non-CAS) that hit                                
l1tex__t_sectors_pipe_lsu_mem_local_op_ld                                   # of sectors requested for local loads                                                          
lts__t_sectors_aperture_peer_op_red_lookup_miss                             # of LTS sectors accessing peer memory (peermem) for reductions that missed                     
l1tex__texin_requests_mem_surface_op_null                                   # of requests sent to TEXIN for null surface instructions                                       
lts__t_sectors_srcunit_tex_op_red                                           # of LTS sectors from unit TEX for reductions                                                   
smsp__sass_inst_executed_op_memory_64b                                      # of warp instructions executed by memory instructions with width 64 bit                        
lts__t_sectors_aperture_sysmem_op_atom_dot_cas_lookup_hit                   # of LTS sectors accessing system memory (sysmem) for atomic CAS that hit                       
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_alu_lookup_hit        # of LTS sectors from unit L1 accessing system memory (sysmem) for atomic ALU (non-CAS) that hit
l1tex__texin_sm2tex_req_cycles_active                                       # of cycles where interface carrying requests from SM to L1TEX TEXIN-Stage was active           
lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_local_op_st                    # of bytes requested for local stores                                                           
lts__t_sectors_srcunit_l1_aperture_sysmem_op_membar_lookup_hit              # of LTS sectors from unit L1 accessing system memory (sysmem) for memory barriers that hit     
l1tex__t_bytes_pipe_lsu_mem_local_op_st_lookup_miss                         # of bytes requested that missed for local stores                                               
l1tex__t_sectors_pipe_tex_lookup_hit                                        # of sector requests to T-Stage with tag-hit and data-hit for TEX pipe                          
lts__t_sectors_op_atom_dot_alu                                              # of LTS sectors for atomic ALU (non-CAS)                                                       
lts__t_requests_aperture_device_op_membar                                   # of LTS requests accessing device memory (vidmem) for memory barriers                          
l1tex__t_bytes_pipe_tex_mem_surface_op_red_lookup_miss                      # of bytes requested that missed for surface reductions                                         
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ipa                           # of IPA wavefronts processed by Data-Stage                                                     
l1tex__t_requests_pipe_tex_mem_texture                                      # of requests sent to T-Stage from the L1TEX X-Stage for textures                               
lts__t_requests_srcunit_tex_aperture_device_op_atom_dot_alu                 # of LTS requests from unit TEX accessing device memory (vidmem) for atomic ALU (non-CAS)       
l1tex__f_wavefronts                                                         # of wavefronts processed by L1TEX F-Stage                                                      
lts__t_requests_srcunit_l1_lookup_hit                                       # of LTS requests from unit L1 that hit                                                         
lts__t_sectors_srcunit_tex_aperture_peer                                    # of LTS sectors from unit TEX accessing peer memory (peermem)                                  
smsp__mio2rf_writeback_active                                               # of cycles where the MIO to register file writeback interface was active                       
l1tex__t_set_accesses_pipe_tex_mem_texture_op_tex                           # of cache set accesses for TEX instructions                                                    
l1tex__t_set_accesses_pipe_tex_mem_surface_op_atom                          # of cache set accesses for surface atomics                                                     
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_red                         # of sectors written to L2 for global reductions                                                
lts__t_requests_aperture_sysmem_op_write                                    # of LTS requests accessing system memory (sysmem) for writes                                   
gpu__dispatch_count                                                         # of compute dispatches sent to GPU                                                             
l1tex__t_bytes_pipe_lsu_mem_global_op_st_lookup_hit                         # of bytes requested with tag-hit and data-hit for global stores                                
lts__t_sectors_srcunit_l1_aperture_sysmem_op_write_lookup_miss              # of LTS sectors from unit L1 accessing system memory (sysmem) for writes that missed           
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas_lookup_hit         # of LTS sectors from unit TEX accessing peer memory (peermem) for atomic CAS that hit          
gpc__cycles_in_frame                                                        # of cycles in user-defined frame                                                               
lts__t_requests_srcunit_tex_aperture_peer_op_membar                         # of LTS requests from unit TEX accessing peer memory (peermem) for memory barriers             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas                    # of LTS sectors from unit TEX accessing peer memory (peermem) for atomic CAS                   
sm__inst_executed_pipe_alu                                                  # of warp instructions executed by alu pipe                                                     
smsp__sass_sectors_mem_local                                                # of local memory sectors accessed                                                              
lts__t_sectors_srcunit_tex_op_red_lookup_miss                               # of LTS sectors from unit TEX for reductions that missed                                       
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_atom                     # of wavefronts sent to Data-Stage from T-Stage for surface atomics                             
l1tex__t_bytes_pipe_lsu_mem_global_op_ld_lookup_hit                         # of bytes requested with tag-hit and data-hit for global loads                                 
smsp__inst_executed_op_generic_atom_dot_cas_pred_on_any                     # of warp instructions executed with at least 1 thread predicated on: ATOM.CAS, ATOMG.CAS       
lts__t_sectors_aperture_peer_op_atom_dot_cas_lookup_miss                    # of LTS sectors accessing peer memory (peermem) for atomic CAS that missed                     
lts__t_sectors_aperture_sysmem_op_atom_lookup_miss                          # of LTS sectors accessing system memory (sysmem) for all atomics that missed                   
l1tex__m_l1tex2xbar_write_bytes_mem_lg_op_st                                # of bytes written to L2# of sectors written to L2 for local/global stores                      
smsp__warps_issue_stalled_membar                                            cumulative # of warps waiting on a memory barrier                                               
lts__t_sectors_aperture_device_op_red_lookup_miss                           # of LTS sectors accessing device memory (vidmem) for reductions that missed                    
sm__inst_executed_pipe_fp16                                                 # of warp instructions executed by fp16 pipe                                                    
lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_cas_lookup_hit       # of LTS sectors from unit TEX accessing device memory (vidmem) for atomic CAS that hit         
l1tex__texin_requests_mem_texture                                           # of texture requests (quads) sent to TEXIN                                                     
lts__t_sectors_srcunit_tex_aperture_peer_op_red_lookup_hit                  # of LTS sectors from unit TEX accessing peer memory (peermem) for reductions that hit          
lts__t_requests_aperture_peer_op_atom_lookup_miss                           # of LTS requests accessing peer memory (peermem) for all atomics that missed                   
smsp__warps_issue_stalled_math_pipe_throttle                                cumulative # of warps waiting for an execution pipe to be available                             
smsp__sass_thread_inst_executed_ops_hadd_hmul_hfma_pred_on                  # of HADD, HMUL and HFMA thread instructions executed where all predicates were true            
lts__t_requests_srcunit_l1_op_read_lookup_hit                               # of LTS requests from unit L1 for reads that hit                                               
l1tex__data_bank_writes                                                     # of data bank writes                                                                           
smsp__inst_executed_pipe_alu                                                # of warp instructions executed by alu pipe                                                     
lts__t_requests_aperture_sysmem_op_read_lookup_miss                         # of LTS requests accessing system memory (sysmem) for reads that missed                        
l1tex__t_set_accesses_pipe_lsu_mem_local_op_st                              # of cache set accesses for local stores                                                        
smsp__warps_issue_stalled_mio_throttle                                      cumulative # of warps waiting for a free entry in the MIO instruction queue                     
l1tex__t_bytes_pipe_tex_mem_surface                                         # of bytes requested for surface                                                                
l1tex__t_bytes_pipe_lsu_mem_global_op_st_lookup_miss                        # of bytes requested that missed for global stores                                              
l1tex__f_tex2sm_cycles_active                                               # of cycles where texture/surface writeback interface was active                                
lts__t_requests_srcunit_l1_aperture_peer_op_atom_lookup_miss                # of LTS requests from unit L1 accessing peer memory (peermem) for all atomics that missed      
smsp__sass_thread_inst_executed_op_hfma_pred_on                             # of HFMA thread instructions executed where all predicates were true                           
lts__t_requests_aperture_sysmem_op_red_lookup_miss                          # of LTS requests accessing system memory (sysmem) for reductions that missed                   
lts__t_sectors_aperture_peer_op_red                                         # of LTS sectors accessing peer memory (peermem) for reductions                                 
l1tex__t_set_accesses_pipe_tex_mem_texture_op_ld                            # of cache set accesses for TLD instructions                                                    
gpu__cycles_active                                                          # of cycles where GPU was active                                                                
l1tex__t_requests_pipe_lsu_mem_local_op_st                                  # of requests sent to T-Stage for local stores                                                  
lts__t_requests_srcunit_tex_aperture_peer_lookup_hit                        # of LTS requests from unit TEX accessing peer memory (peermem) that hit                        
lts__t_sectors_srcunit_l1_op_atom_lookup_hit                                # of LTS sectors from unit L1 for all atomics that hit                                          
sm__inst_executed_pipe_adu                                                  # of warp instructions executed by adu pipe                                                     
lts__t_sectors_srcunit_l1_aperture_sysmem_lookup_hit                        # of LTS sectors from unit L1 accessing system memory (sysmem) that hit                         
l1tex__t_requests_pipe_tex_mem_surface                                      # of requests sent to T-Stage from the L1TEX X-Stage for surfaces                               
lts__t_bytes_equiv_l1sectormiss_pipe_lsu                                    # of bytes requested for LSU pipe local/global                                                  
smsp__sass_thread_inst_executed_op_dmul_pred_on                             # of DMUL thread instructions executed where all predicates were true                           
smsp__warps_issue_stalled_wait                                              cumulative # of warps waiting on a fixed latency execution dependency                           
lts__t_requests_srcunit_l1_op_red_lookup_hit                                # of LTS requests from unit L1 for reductions that hit                                          
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_surface_op_ld                   # of sectors requested for surface loads                                                        
lts__t_requests_aperture_sysmem                                             # of LTS requests accessing system memory (sysmem)                                              
smsp__sass_thread_inst_executed_op_hadd_pred_on                             # of HADD thread instructions executed where all predicates were true                           
l1tex__t_bytes_pipe_tex_mem_surface_lookup_hit                              # of bytes requested with tag-hit and data-hit for surface                                      
gpu__time_end                                                               end timestamp, relative to start of frame                                                       
l1tex__t_bytes_lookup_hit                                                   # of bytes requested with tag-hit and data-hit                                                  
l1tex__t_sectors_pipe_tex_mem_surface_op_st                                 # of sectors requested for surface stores                                                       
lts__t_requests_srcunit_tex_aperture_peer_op_atom_dot_cas                   # of LTS requests from unit TEX accessing peer memory (peermem) for atomic CAS                  
smsp__sass_thread_inst_executed_op_misc_pred_on                             # of miscellaneous instructions executed where all predicates were true                         
lts__t_sectors_srcunit_l1_aperture_device_op_red                            # of LTS sectors from unit L1 accessing device memory (vidmem) for reductions                    
lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_ld                   # of bytes requested for global loads                                                            
smsp__inst_executed_op_surface_atom_dot_cas_pred_off_all                    # of warp instructions executed with all threads predicated off: SUATOM.CAS                      
lts__t_sectors_aperture_sysmem_op_atom_dot_cas_lookup_miss                  # of LTS sectors accessing system memory (sysmem) for atomic CAS that missed                     
sm__threads_launched_shader_cs                                              # of threads launched for CS                                                                     
smsp__inst_executed_op_texture                                              # of warp instructions executed: texture                                                         
l1tex__t_sectors_pipe_tex_mem_texture_op_ld_lookup_hit                      # of sector requests to T-Stage with tag-hit and data-hit for TLD instructions                   
smsp__inst_executed_op_local_st                                             # of warp instructions executed: STL                                                             
lts__t_sectors_srcunit_tex_aperture_peer_op_red_lookup_miss                 # of LTS sectors from unit TEX accessing peer memory (peermem) for reductions that missed        
lts__t_sectors_op_atom_dot_alu_lookup_hit                                   # of LTS sectors for atomic ALU (non-CAS) that hit                                               
lts__t_requests_aperture_sysmem_op_atom_lookup_miss                         # of LTS requests accessing system memory (sysmem) for all atomics that missed                   
lts__t_requests_srcunit_l1_aperture_device_op_read_lookup_hit               # of LTS requests from unit L1 accessing device memory (vidmem) for reads that hit               
smsp__inst_executed_op_local_st_pred_off_all                                # of warp instructions executed with all threads predicated off: STL                             
lts__t_requests_aperture_peer_op_atom_dot_alu                               # of LTS requests accessing peer memory (peermem) for atomic ALU (non-CAS)                       
lts__t_requests_srcunit_l1_aperture_device_op_membar_lookup_hit             # of LTS requests from unit L1 accessing device memory (vidmem) for memory barriers that hit     
lts__t_sectors_aperture_sysmem_lookup_miss                                  # of LTS sectors accessing system memory (sysmem) that missed                                    
l1tex__t_bytes_pipe_tex_mem_surface_lookup_miss                             # of bytes requested that missed for surface                                                     
lts__t_sectors_op_atom_dot_cas                                              # of LTS sectors for atomic CAS                                                                  
sys__cycles_in_region                                                       # of cycles in user-defined region                                                               
lts__t_sectors_aperture_sysmem_op_read                                      # of LTS sectors accessing system memory (sysmem) for reads                                      
lts__t_requests_srcunit_l1_aperture_device_op_red_lookup_hit                # of LTS requests from unit L1 accessing device memory (vidmem) for reductions that hit          
lts__t_sectors_srcunit_l1_op_red                                            # of LTS sectors from unit L1 for reductions                                                     
sm__cycles_in_frame                                                         # of cycles in user-defined frame                                                                
lts__t_sectors_op_membar                                                    # of LTS sectors for memory barriers                                                             
smsp__sass_thread_inst_executed_op_bit_pred_on                              # of bit thread instructions executed where all predicates were true                             
lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_alu_lookup_hit       # of LTS sectors from unit TEX accessing device memory (vidmem) for atomic ALU (non-CAS) that hit
smsp__warps_issue_stalled_tex_throttle                                      cumulative # of warps waiting for a free entry in the TEX instruction queue                      
lts__t_sectors_srcunit_tex_aperture_peer_op_write_lookup_hit                # of LTS sectors from unit TEX accessing peer memory (peermem) for writes that hit               
lts__t_sectors_op_write_lookup_miss                                         # of LTS sectors for writes that missed                                                          
lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_miss                      # of LTS sectors from unit TEX for atomic ALU (non-CAS) that missed                              
lts__t_requests_srcunit_l1_aperture_sysmem_op_atom_lookup_hit               # of LTS requests from unit L1 accessing system memory (sysmem) for all atomics that hit         
lts__t_sectors_srcunit_l1_lookup_miss                                       # of LTS sectors from unit L1 that missed                                                        
smsp__inst_executed_op_generic_ld_pred_off_all                              # of warp instructions executed with all threads predicated off: LD                              
l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_miss                     # of sector requests to T-Stage that missed for surface stores                                   
lts__t_requests_aperture_device_op_atom_lookup_miss                         # of LTS requests accessing device memory (vidmem) for all atomics that missed                   
sm__inst_executed_pipe_xu                                                   # of warp instructions executed by xu pipe                                                       
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red_lookup_hit                # of LTS sectors from unit TEX accessing system memory (sysmem) for reductions that hit          
==PROF== Note that these metrics must be appended with a valid suffix before profiling them. See --help for more information on --query-metrics-mode.

Device GV100
--------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                 
--------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------
lts__throughput_internal_activity                                           LTS throughput, internal activity                                                                  
sm__instruction_throughput_internal_activity                                SM core instruction throughput assuming ideal load balancing across SMSPs, internal activity       
l1tex__throughput                                                           L1TEX Throughput                                                                                   
fbpa__dram_write_throughput                                                 FBPA write throughput                                                                              
gpu__dram_throughput                                                        GPU DRAM throughput                                                                                
sm__memory_throughput_internal_activity                                     SM memory instruction throughput assuming ideal load balancing across SMSPs, internal activity     
gpu__compute_memory_request_throughput                                      Compute Memory Pipeline : throughput of interconnects between SM<->Caches<->DRAM                   
gpu__compute_memory_request_throughput_internal_activity                    Compute Memory Pipeline : throughput of interconnects between SM<->Caches<->DRAM, internal activity
fbpa__throughput                                                            FBPA throughput                                                                                    
gpu__compute_memory_access_throughput                                       Compute Memory Pipeline : throughput of internal activity within caches and DRAM                   
fbpa__dram_read_throughput                                                  FBPA read throughput                                                                               
dram__throughput                                                            DRAM throughput                                                                                    
sm__throughput                                                              SM throughput assuming ideal load balancing across SMSPs                                           
sm__memory_throughput                                                       SM memory instruction throughput assuming ideal load balancing across SMSPs                        
gpu__compute_memory_throughput                                              Compute Memory Pipeline Throughput                                                                 
gpu__compute_memory_access_throughput_internal_activity                     Compute Memory Pipeline : throughput of internal activity within caches and DRAM, internal activity
sm__instruction_throughput                                                  SM core instruction throughput assuming ideal load balancing across SMSPs                          
lts__throughput                                                             LTS throughput                                                                                     
l1tex__t_sectors_pipe_tex_mem_texture_op_ld_lookup_hit                      # of sector requests to T-Stage with tag-hit and data-hit for TLD instructions                     
l1tex__t_sectors_pipe_tex_mem_texture_op_ld_lookup_miss                     # of sector requests to T-Stage that missed for TLD instructions                                   
lts__t_requests_op_read_lookup_miss                                         # of LTS requests for reads that missed                                                            
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st                            # of STS wavefronts processed by Data-Stage                                                        
lts__t_sectors_aperture_device_op_membar_lookup_hit                         # of LTS sectors accessing device memory (vidmem) for memory barriers that hit                     
lts__t_sectors_srcunit_l1_aperture_device_op_write_lookup_hit               # of LTS sectors from unit L1 accessing device memory (vidmem) for writes that hit                 
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom                           # of LTS sectors from unit L1 accessing system memory (sysmem) for all atomics                     
smsp__inst_executed_pipe_lsu                                                # of warp instructions executed by lsu pipe                                                        
lts__t_sectors_srcunit_tex_aperture_device_op_write_lookup_hit              # of LTS sectors from unit TEX accessing device memory (vidmem) for writes that hit                
lts__t_requests_srcunit_l1_op_write                                         # of LTS requests from unit L1 for writes                                                          
smsp__sass_thread_inst_executed_op_inter_thread_communication_pred_on       # of inter-thread communication thread instructions executed where all predicates were true        
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_cas_lookup_miss         # of LTS sectors from unit L1 accessing peer memory (peermem) for atomic CAS that missed           
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_atom                      # of wavefronts sent to Data-Stage from T-Stage for global atomics                                 
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface_op_atom                # of bytes requested for surface atomics                                                           
l1tex__texin_cycles_stalled_on_tsl1_miss                                    # of cycles where TEXIN was stalled on TSL1 cache miss, requesting texture or sampler header       
lts__t_requests_srcunit_tex_aperture_device_op_atom_lookup_miss             # of LTS requests from unit TEX accessing device memory (vidmem) for all atomics that missed       
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_texture                        # of bytes requested for texture                                                                   
